"parent_id,""child_id"""
"ch_conv_deal_deposit_and_buy,ch_converse_deposit"
"ch_converse_deposit,ch_pokaz_ries_mobile"
"ch_converse_deposit,ch_voronka_ticket_buyer"
"ch_core_base,ch_deals_new"
"ch_cottages,ch_objects_all_fields"
"ch_cottages,diff_objects_all_fields"
"ch_count_user_google,ch_deals_new"
"ch_count_user_in_rop,ch_deals_new"
"ch_count_users_by_city_slice2_all,ch_deals_new"
"ch_count_users_stazh_all_city,ch_deals_new"
"ch_crm_notifications,ch_ticket_care_all"
"ch_crm_ticket_id,ch_tickets_for_232"
"ch_deals_deals_tags,ch_ticket_potrebnosti"
"ch_districts,ch_objects_all_fields"
"ch_districts,ch_ticket_potrebnosti"
"ch_districts,diff_objects_all_fields"
"ch_document_types_1,ch_ost_document_ticket_1"
"checked_objects,checked_objects_group"
"ch_e_offices,ch_hr_users"
"ch_exist_client_general,ch_mortgage_actions"
"ch_exist_client_phones,ch_exist_client_general"
"ch_exist_client_phones,ch_tickets_for_232"
"ch_exist_clients,ch_converse_deposit"
"ch_exist_clients,ch_deals_new"
"ch_exist_clients,ch_exist_client_general"
"ch_exist_clients,ch_pokaz_ries_mobile"
"ch_exist_clients,ch_ticket_care_all"
"ch_exist_clients,ch_tickets_for_232"
"ch_exist_clients,ch_voronka_ticket_buyer"
"ch_exist_clients_1,ch_ost_document_ticket_1"
"ch_exist_objects,ch_deals_new"
"ch_flats,ch_objects_all_fields"
"ch_furnish_types,ch_objects_all_fields"
"ch_furnish_types,diff_objects_all_fields"
"ch_garages,ch_objects_all_fields"
"ch_garages,diff_objects_all_fields"
"ch_gd_pedestrian_all,ch_ticket_care_all"
"ch_hr_users,ch_converse_deposit"
"ch_hr_users,ch_deals_new"
"ch_hr_users,ch_mortgage_actions"
"ch_hr_users,ch_objects_all_fields"
"ch_hr_users,ch_pokaz_ries_mobile"
"ch_hr_users,ch_ticket_care_all"
"ch_hr_users,ch_ticket_potrebnosti"
"ch_hr_users,ch_tickets_for_232"
"ch_hr_users,ch_voronka_ticket_buyer"
"ch_hr_users,diff_objects_all_fields"
